product_name,gst,hsn_code,company
02100158 S L SPIRAL 172PAGES 65/-,,,Shree Agencies
10101A4-NOTE BOOK MRP-35-00,12 %,48202000,Shree Agencies
10106 SHAPEA4 318 PAGES(140-00),12 %,482020,Shree Agencies
10107SHAPE A4398PG NOTE BOOK,12 %,482020,Shree Agencies
10108A4-140PAGESHAPE-MRP55,12 %,48202000,Shree Agencies
10205 SHAPE A4-318 PG U/R,12 %,482020,Shree Agencies
10206 SHAPE A4398PG U/R,12 %,48202000,Shree Agencies
120PG GEN. PRAC 949-70/-,12 %,48202000,Shree Agencies
126611 MINIMAX POCKETD.64PG,12 %,48201090,Shree Agencies
136PG PHYSICS REC 281-85,12 %,482020,Shree Agencies
140 PG A4 RULLED-02000199  65/-,12 %,48201090,Shree Agencies
140PG A4 UN-RULLED-02000200,12 %,482020000,Shree Agencies
14109N SHAPE NOTE BOOK HARD BROWN,12 %,48202000,Shree Agencies
144PG CHEMISTRY PRACTICAL 277-85/-,12 %,48202000,Shree Agencies
15101A-4 YELLOW DRAWING BOOK-36PAGE,12 %,48201090,Shree Agencies
160PAGE LONG RULLED 60/-(MRP),12 %,490300,Shree Agencies
160PAGE UNRULED 70/-,12 %,48202000,Shree Agencies
160pglon.Rul.H/b 236 110/-,12 %,48202000,Shree Agencies
16101 A4 PHYSICS PRACTICLE BOOK,12 %,482020000,Shree Agencies
16102A-4PHYSICS RECORD 140 PG 70 MRP,12 %,482020,Shree Agencies
16201A-4 CHEMESTRY PRCL 96PG-55-00MRP,12 %,482020,Shree Agencies
16202A-4 CHEMISTRYP-RECORD-140PAG-70MRP,12 %,482020,Shree Agencies
17103ENB GRAPH 32PG-SHAPE,12 %,482020,Shree Agencies
172 P K/S RUL. 221 M55/-,12 %,48202000,Shree Agencies
18101ENB SCRAP BOOK 32PAGE 40MRP,12 %,48202000,Shree Agencies
19101CRAFT 15*1520PC-SHAPE,12 %,482020,Shree Agencies
2Q BIOLOGY PRACTICAL BOOK,12 %,482020,Shree Agencies
2QP/R NOTE BOOK,12 %,48201090,Shree Agencies
2Q P/R NOTE BOOK BIOLOGY,12 %,4820,Shree Agencies
32610N SHAPE ROYAL BROWN72PGPLAIN,12 %,4820,Shree Agencies
400 PG H/B RUL.329 (250/-),12 %,48202000,Shree Agencies
40PG DRAWING 193 -35/-,12 %,48202000,Shree Agencies
6023SHAPE WR/PAD160PGPLAIN,12 %,48202000,Shree Agencies
6031 SHAPEW/P 160PG RULLRD,12 %,48202000,Shree Agencies
6601 SHAPE POKET D.112PG,12 %,48201010,Shree Agencies
6602 SHAPEPOCKET D.112PG,12 %,482020,Shree Agencies
76 King Rajdhani#,12 %,482020,Shree Agencies
76 Pg Rajadhani Book -2line,12 %,48202000,Shree Agencies
76 Pg Rajadhani Book 4-Line,12 %,48202000,Shree Agencies
76pg Rajdhani Book 3line,12 %,48202000,Shree Agencies
92PAGE LONG RUL 987 (40/-),12 %,48202000,Shree Agencies
98201 Jumbo(31x19)160pg-U/R,12 %,48202000,Shree Agencies
98202 JUMBO(31X19)160PG RULLED,12 %,48202000,Shree Agencies
A4 BLUE SHEET,12 %,48202000,Shree Agencies
A4 COPY PLUS 80GSM PAPER,12 %,48109900,Shree Agencies
A5 PAPER-B2B 70GSM,12 %,4802,Shree Agencies
A5 PINK SHEET,12 %,4802,Shree Agencies
A5 WHITE SHEET,12 %,48109900,Shree Agencies
A5 YELLOW SHEET,12 %,48109900,Shree Agencies
Ankit King Size 172 Pg,12 %,48109900,Shree Agencies
APSARA DRAWING NOTE BOOK-40PAGES,12 %,482010,Shree Agencies
APSARA DRAWING PENCILS SET,12 %,4820,Shree Agencies
APSARA NOTE BOOK 120 PAGES,12 %,96082000,Shree Agencies
APSARA NOTE BOOK 172PAGES,12 %,4820,Shree Agencies
