product_name,gst,hsn_code
12x17 EXCEL BOND P,12%,48025790
12x18 100GSM LINEN W,12%,48102900
12X18-100GSM PAPER-4,12%,48101390
12X18-GLOSSY-SPECIAL,12%,48102900
12x18 ITC MATT 100GS,12%,48059200
12X18 ITC MATT 250GS,12%,48059200
12X18 ITC MATT BOARD,12%,48059200
12X18 METALIC GOLD 3,12%,48059100
12X36 DIGITAL PAPER2,12%,480256  
13x19matt 105gsmx5,12%,48102900
13X19-LINEN WHITE 30,12%,48102900
13X19WHITE LENIN,12%,48109900
180 GSM 210X297 DOUB,12%,48101990
182GP WR 610MMX30MT,12%,48101390
270GSM 30.50CMSX46CM,12%,48109900
2/SART BOARD GLOSS ,12%,48102900
2/S ART BOARD GLOSS,12%,48102900
2/s Coated Art Board,12%,48101920
2/S COATED PAPER-170,12%,48101990
2/S COATED PAPER/BOA,12%,48101990
75SERIES BLACK1KG,12%,32151140
75SERIES VIM GREEN1K,12%,32151140
A4 100GSM,12%,480256  
A475GSM COPY GOLD,12%,48025690
A4 75GSM JK ECO CANV,12%,48025690
A485GSM WESCO BOND ,12%,48025690
A4 IF 135GSM GLOSSY,12%,48101490
A4 I FOTO INKJET PHO,12%,48101490
A4 I Foto Ink Jet Ph,12%,48101490
A4 KODAK INK JET PHO,12%,48101490
A4 KODAK SUBLIMATION,12%,48101490
APSARA PENCIILPLATIN,12%,96091000
ARJUN PHOTO PAPER 13,12%,48101990
ARJUN PHOTO PAPER 18,12%,48101990
BROWN ENOVELAP11X5,12%,481710  
C2S COATED BOARD 481,12%,48109900
C2S COATED PAPER-481,12%,48109900
CANON 790 BLACK INK,12%,32151990
CERAMIC MUG 110Z,12%,69120090
COATED ART PAPER 112,12%,48101320
COATED ART PAPER 300,12%,48101320
COATING SOLUTION 500,12%,32151190
Compu A3 182 Gsm Ink,12%,48101990
COMPUPHOTOPAPER 180G,12%,48101490
Compu Photo Paper180,12%,48101990
COMPU PHOTOPAPER 180,12%,48101990
CREAM WOVE PAPER,12%,48025790
CYAN:COLD SET,12%,32151910
DAMPING CLOTH 130 MM,12%,5911000 
DAMPING CLOTH 140 MM,12%,59119000
DAMPING CLOTH 160 MM,12%,59119000
DAMPING DLOTH 90 MM,12%,59119000
DAMPNING CLOTH(WHITE,12%,59111000
DESMAT PAPER A4 130,12%,48101490
DESMATT CLICK ID 180,12%,48109900
Digi Art Board 250 G,12%,45101990
DIGITAL ART BOARD SP,12%,48059100
EPSON008 YELLOW INK,12%,32151990
EURO COLOR 210GSM 21,12%,48101990
EURO COLOUR 182GSM 2,12%,48101990
GLOSS BLACK200GRM,12%,32151140
GLOSS INK AID500ML ,12%,32151190
GLOSSY D/S PHOTO PAP,12%,48101390
IF A3 180GSM 50SHEET,12%,48101490
I FOTO 180GSM A4 50S,12%,48101490
I FOTO 210GSM A4 20S,12%,481099  
INFINITY BOND 100/50,12%,48025690
INFINITY BOND85/100,12%,48025690
INK100ML SUBLIMATION,12%,32159090
IPH INK JET GLOSSY P,12%,481099  
JK EXCEL BOND 100GSM,12%,48025790
JK EXECUTIVE BOND PA,12%,48025790
KENT/JMD PHOTOPAPER,12%,48025690
