product_name,gst,hsn_code,company
12x17EXCEL BOND PAPER-500SHEET PK,12 %,48025790,Shree Graphics
12x18 100GSM LINEN WHITE,12 %,48102900,Shree Graphics
12X18-100GSM PAPER-48101390,12 %,48101390,Shree Graphics
12X18-GLOSSY-SPECIAL-250GSM-,12 %,48102900,Shree Graphics
12x18 ITC MATT 100GSM PAPER,12 %,48059200,Shree Graphics
12X18 ITC MATT 250GSM BOARD,12 %,48059200,Shree Graphics
12X18 ITC MATT BOARD 280GSM,12 %,48059200,Shree Graphics
12X18 METALIC GOLD 37,12 %,48059100,Shree Graphics
12X36 DIGITAL PAPER280GSM,12 %,48025610,Shree Graphics
13x19matt 105gsmx500sheets Pk,12 %,48102900,Shree Graphics
13X19-LINEN WHITE 300GSM,12 %,48102900,Shree Graphics
13X19WHITE LENIN,12 %,48109900,Shree Graphics
180 GSM 210X297 DOUBLE SIDE INK JET PAPER,12 %,48101990,Shree Graphics
182GP WR 610MMX30MT,12 %,48101390,Shree Graphics
270GSM 30.50CMSX46CMSGLOSS SHEET,12 %,48109900,Shree Graphics
2/SART BOARD GLOSS,12 %,48102900,Shree Graphics
2/S ART BOARD GLOSS G-130/+4,12 %,48102900,Shree Graphics
2/s Coated Art Board 225gsm A/4,12 %,48101920,Shree Graphics
2/S COATED PAPER-170GSM A/4 PAPER,12 %,48101990,Shree Graphics
2/S COATED PAPER/BOARD 225GSM A4 PAPER,12 %,48021010,Shree Graphics
2/S COATED PAPER/BOARD 48101990/A/4 300GSM,12 %,48101990,Shree Graphics
4X6 NOVA JET 180GSM 100SHEET PKT,12 %,48025690,Shree Graphics
70MM DAMPNING HOSE,12 %,48025690,Shree Graphics
75SERIES BLACK1KG,12 %,32151140,Shree Graphics
75SERIES VIM GREEN1KG,12 %,32151140,Shree Graphics
A4 100GSM,12 %,48025690,Shree Graphics
A475GSM COPY GOLD,12 %,48025690,Shree Graphics
A4 75GSM JK ECO CANVAS COLOR,12 %,48025690,Shree Graphics
A485GSM WESCO BOND,12 %,48025690,Shree Graphics
A4 IF 135GSM GLOSSY STICKER 20SHEETS,12 %,48101490,Shree Graphics
A4 I FOTO INKJET PHOTO PAPER 180GSM -20SHEET PKT,12 %,48101490,Shree Graphics
A4 I Foto Ink Jet Photo Paper 210gsm 20sheets Pking,12 %,48101490,Shree Graphics
A4 KODAK INK JET PHOTO PAPER 210GSM 20SHEET PKT,12 %,48101490,Shree Graphics
A4 KODAK SUBLIMATION PAPER100-SHEET,12 %,48101490,Shree Graphics
ARJUN PHOTO PAPER 130GSM 210X297,12 %,48101990,Shree Graphics
ARJUN PHOTO PAPER 180GSM 210X297,12 %,48101990,Shree Graphics
B2BA3 PAPER,12 %,48026230,Shree Graphics
BILT MATRIX BLUE A4 80 GS,12 %,48025790,Shree Graphics
BILT MATRIX GREEN A4 80 GSM,12 %,48025790,Shree Graphics
BILT MATRIX PINK A4 80 GSM,12 %,48025790,Shree Graphics
BILT MATRIX YELLOW A4 80 GSM,12 %,48025790,Shree Graphics
BLACK:W/O C/S POPULAR KCK02101,12 %,3215,Shree Graphics
BROWN ENOVELAP11X5,12 %,481710,Shree Graphics
C2S COATED BOARD 48109900,12 %,48109900,Shree Graphics
C2S COATED PAPER-48109900,12 %,48109900,Shree Graphics
CAD PLOTTER PAPER24X45MTR90GSM,12 %,49060000,Shree Graphics
CAD PLOTTER PAPER 36X45MTRS 90GSM,12 %,49060000,Shree Graphics
CANON 790 BLACK INK CATRIDGE,12 %,32151990,Shree Graphics
CERAMIC MUG 110Z,12 %,69120090,Shree Graphics
COATED ART PAPER 112X18 280GSM,12 %,48101320,Shree Graphics
COATED ART PAPER 300GSM12X18,12 %,48101320,Shree Graphics
COATING SOLUTION SUNRAYS 500 GR,12 %,32151910,Shree Graphics
COATING SOLUTION SUNRAYS 1 KG,12 %,32151910,Shree Graphics
COATING SOLUTION SUNRAYS 200 GR,12 %,32151910,Shree Graphics
COATING SOLUTION 500GMS,12 %,32151190,Shree Graphics
Compu A3 182 Gsm Inkjet Paper,12 %,48101990,Shree Graphics
COMPUPHOTOPAPER 180GSM4*6,12 %,48101490,Shree Graphics
Compu Photo Paper180gsmA4,12 %,48101990,Shree Graphics
COMPU PHOTOPAPER 180GSM A4 S/F,12 %,48101990,Shree Graphics
Copy Plus 80gsm Paper,12 %,48025790,Shree Graphics
CREAM WOVE PAPER,12 %,48025790,Shree Graphics
CUTTER BLADE BIG,12 %,82089010,Shree Graphics
CYAN:COLD SET,12 %,32151910,Shree Graphics
DAMPING CLOTH 130 MM,12 %,5911000,Shree Graphics
DAMPING CLOTH 140 MM,12 %,59119000,Shree Graphics
DAMPING CLOTH 150 MM,12 %,59119090,Shree Graphics
DAMPING CLOTH 160 MM,12 %,59119000,Shree Graphics
DAMPING DLOTH 90 MM,12 %,59119000,Shree Graphics
DAMPNING CLOTH 210MM,12 %,59119090,Shree Graphics
DAMPNING CLOTH WHITE-180MM,12 %,59119090,Shree Graphics
DAMPNING CLOTH(WHITE)190MM,12 %,59111000,Shree Graphics
DAMPNING HOSE 110MM,12 %,59119090,Shree Graphics
DAMPNING HOSE 190MM(RED),12 %,59119090,Shree Graphics
DB OIL(BOILED OIL),12 %,32159090,Shree Graphics
DESMATA4 130GSM,12 %,48101490,Shree Graphics
DESMAT PAPER A4 130 GSM,12 %,48101490,Shree Graphics
DESMATT130GSM,12 %,48101490,Shree Graphics
DESMATT CLICK ID 180GSM A4 50SHEET PHOTO PAPER,12 %,48109900,Shree Graphics
Digi Art Board 12 x 18 130 Gsm 500 SHEETS,12 %,48021010,Shree Graphics
DIGI ART BOARD 12X18-90GSM-500SHEET,12 %,48021010,Shree Graphics
Digi Art Board 130 Gsm 13 X 19,12 %,48021010,Shree Graphics
Digi Art Board 170 Gsm 12 X 18,12 %,48021010,Shree Graphics
Digi Art Board 170 Gsm 13 X 19,12 %,48021010,Shree Graphics
Digi Art Board 225 Gsm 12 X 18,12 %,48021010,Shree Graphics
Digi Art Board 225 Gsm 13 X 19,12 %,48021010,Shree Graphics
Digi Art Board 250 Gsm 12 X 18,12 %,48021010,Shree Graphics
Digi Art Board 250 Gsm 13 X 19,12 %,48021010,Shree Graphics
Digi Art Board 280 Gsm 12 X 18,12 %,48021010,Shree Graphics
Digi Art Board 280 Gsm 13 X 19,12 %,48021010,Shree Graphics
Digi Art Board 300 Gsm 12 X 18,12 %,48021010,Shree Graphics
Digi Art Board 300 Gsm 13 X 19,12 %,48021010,Shree Graphics
DIGITAL ART BOARD SPECIAL PAPER 12X18 300GS (29),12 %,48059100,Shree Graphics
DIGITAL ART BOARD SPECIAL PAPER 12X18 300 GSM,12 %,48021010,Shree Graphics
DIGITAL ART BOARD SPECIAL PAPER 12X18 300 GSM (27),12 %,48021010,Shree Graphics
DIGITAL ART BOARD SPECIAL PAPER 12X18 300GSM (28),12 %,48021010,Shree Graphics
DORCO SNAP-OFF CB- LFOR PROFEEIONALS,12 %,82119400,Shree Graphics
DORCO SNAP-OFFCB-SFOR PROFESSIONALS,12 %,82119400,Shree Graphics
EPSON008 YELLOW INK BOTTLE (L15150),12 %,32151990,Shree Graphics
EURO COLOR 210GSM 210X297MM(50SHEETPKT),12 %,48101990,Shree Graphics
EURO COLOUR 182GSM 210X297 A4 50SHEETS,12 %,48101990,Shree Graphics
FOLIO MEGENTA 1 KG,12 %,32151140,Shree Graphics
FORMAJET SUBLIMATION PAPER A4,12 %,48102200,Shree Graphics
FORMUJET INK 200 ML,12 %,32151140,Shree Graphics
FORUMA JET INK 1LTR,12 %,32151140,Shree Graphics
GLOSS BLACK200GRM,12 %,32151140,Shree Graphics
GLOSS INK AID500ML,12 %,32151190,Shree Graphics
GLOSSY D/S PHOTO PAPER 220 GSM A4,12 %,48101390,Shree Graphics
GOLD POWDER 250 GRM,12 %,32151140,Shree Graphics
IF A3 180GSM 50SHEETS,12 %,48101490,Shree Graphics
I FOTO 180GSM A4 50SHEET,12 %,48101490,Shree Graphics
I FOTO 210GSM A4 20SHEET PKT,12 %,48101990,Shree Graphics
I Gap Art Gloss 13x19170 Gsm,12 %,48101990,Shree Graphics
INFINITY BOND 100/500,12 %,48025690,Shree Graphics
INFINITY BOND85/100,12 %,48025690,Shree Graphics
INK100ML SUBLIMATION,12 %,32159090,Shree Graphics
INK AID 75 SERIES 500 GR,12 %,32151140,Shree Graphics
Ink Aid Pvc 500 Ml,12 %,32151140,Shree Graphics
Ink Aid Transperant 1 Ltr,12 %,32151140,Shree Graphics
INK IMPROVER,12 %,32151140,Shree Graphics
IPH INK JET GLOSSY PAPER IF130GSM A4130GSM 50SHEET,12 %,481099,Shree Graphics
Jk Ex Bond Paper A4 85gsm (500),12 %,48025790,Shree Graphics
JK EXCEL BOND 100GSM/100SHEET PER PKT,12 %,48025790,Shree Graphics
JK EXECUTIVE BOND PAPER 100 GSM 500 SHEET,12 %,48025790,Shree Graphics
KENT/JMD PHOTOPAPER 135GSM,12 %,48025690,Shree Graphics
KLIK ID 180GSM 4X6 100SHEET PKING,12 %,48109900,Shree Graphics
KODAK SELF ADHESIVE A4SIZE 20SHEET PER PKT,12 %,48101490,Shree Graphics
KORES PAD INK,12 %,32151140,Shree Graphics
KRAFT PAPER,12 %,48045100,Shree Graphics
MAP PRINTING PAPER(WOOD THICK),12 %,48025790,Shree Graphics
MATT PAPER12X18,12 %,48025790,Shree Graphics
MATT PAPER13X19,12 %,48101990,Shree Graphics
MATT WHITE200GRM PKT,12 %,32151140,Shree Graphics
MCG-870-75 SERIES HTP ROYAL BLUE,12 %,32151140,Shree Graphics
METAL SCALE,12 %,90178010,Shree Graphics
MINI O/S PRNTG INK GREY 1 KG,12 %,32151140,Shree Graphics
MINI O/S PRNTG INK VIOLET 1 KG,12 %,32151140,Shree Graphics
MIRROR COATED PAPER250GSM,12 %,48102900,Shree Graphics
NATARAJ MINI CUTTER,12 %,82141000,Shree Graphics
NAVARATNA VIVID GREEN-500GRM,12 %,32151140,Shree Graphics
NEW STAR WEB BLACK O/S,12 %,32151910,Shree Graphics
Nj Gp Wr 170gsm-210x297mmw/o Wm,12 %,48101490,Shree Graphics
NJ GP WR 180G-102X153MM W/o WM,12 %,48101490,Shree Graphics
NOVA GLOSS PAPER GP180,12 %,48102900,Shree Graphics
NOVA JET 130GSM A4 50 SHEET PAKING,12 %,48102900,Shree Graphics
NOVA JET 202 GSM 50 SHEET,12 %,48101390,Shree Graphics
NOVA JET CMPU A3 +180GSM INK JET PAPER 12X18,12 %,48102900,Shree Graphics
Novajet DSTP210MMX297MMTRANSFERO CERAMIC,12 %,48102900,Shree Graphics
Novajet Gpwr 180 Gsm A4 50sheets,12 %,48102900,Shree Graphics
NOVA JET PHOTO GLOSSY 212 GSM A4 20 SHEETS,12 %,48101390,Shree Graphics
